Phi [deg],SUM,DIFF,DIFF-SUM
-90,-65.0,-69.2,4.200000000000003
-88,-67.6,-64.4,-3.1999999999999886
-86,-68.6,-65.4,-3.1999999999999886
-84,-63.2,-62.8,-0.4000000000000057
-82,-65.2,-62.2,-3.0
-80,-65.2,-63.2,-2.0
-78,-52.6,-64.6,11.999999999999993
-76,-61.4,-66.0,4.600000000000001
-74,-62.4,-69.8,7.399999999999999
-72,-60.2,-66.2,6.0
-70,-59.4,-64.8,5.399999999999999
-68,-61.0,-73.4,12.400000000000006
-66,-64.6,-75.8,11.200000000000003
-64,-60.8,-72.2,11.400000000000006
-62,-60.0,-72.4,12.400000000000006
-60,-62.0,-71.0,9.0
-58,-61.4,-69.8,8.399999999999999
-56,-60.2,-68.2,8.0
-54,-62.6,-64.8,2.1999999999999957
-52,-60.2,-63.4,3.1999999999999957
-50,-62.8,-66.2,3.4000000000000057
-48,-63.4,-63.4,0.0
-46,-65.0,-62.0,-3.0
-44,-62.6,-62.8,0.19999999999999574
-42,-64.8,-62.6,-2.1999999999999957
-40,-66.0,-67.0,1.0
-38,-68.2,-65.2,-3.0
-36,-65.8,-66.8,1.0
-34,-69.2,-66.8,-2.4000000000000057
-32,-67.4,-66.0,-1.4000000000000057
-30,-67.8,-63.6,-4.199999999999996
-28,-68.2,-67.8,-0.4000000000000057
-26,-68.4,-69.2,0.7999999999999972
-24,-68.4,-69.4,1.0
-22,-65.2,-68.8,3.5999999999999943
-20,-65.6,-67.6,2.0
-18,-62.8,-70.0,7.200000000000003
-16,-65.8,-63.8,-2.0
-14,-67.0,-69.6,2.5999999999999943
-12,-58.6,-63.6,5.0
-10,-59.0,-67.2,8.200000000000003
-8,-57.4,-68.6,11.199999999999996
-6,-58.2,-63.2,5.0
-4,-59.4,-64.0,4.600000000000001
-2,-61.6,-66.6,4.999999999999993
0,-62.0,-66.2,4.200000000000003
2,-59.0,-67.0,8.0
4,-59.8,-65.8,6.0
6,-64.2,-66.0,1.7999999999999972
8,-62.0,-67.0,5.0
10,-61.6,-63.4,1.7999999999999972
12,-62.8,-63.6,0.8000000000000043
14,-61.4,-65.4,4.000000000000007
16,-58.2,-65.2,7.0
18,-57.2,-69.4,12.200000000000003
20,-59.4,-65.0,5.600000000000001
22,-60.2,-67.2,7.0
24,-61.2,-64.6,3.3999999999999915
26,-58.4,-61.8,3.3999999999999986
28,-62.4,-65.8,3.3999999999999986
30,-61.2,-66.0,4.799999999999997
32,-61.6,-64.0,2.3999999999999986
34,-61.6,-64.2,2.6000000000000014
36,-60.4,-62.0,1.6000000000000014
38,-62.0,-63.0,1.0
40,-63.2,-63.2,0.0
42,-61.2,-62.2,1.0
44,-63.0,-68.8,5.799999999999997
46,-65.8,-79.0,13.200000000000003
48,-65.2,-79.0,13.799999999999997
50,-58.4,-79.0,20.6
52,-62.0,-72.6,10.599999999999994
54,-64.6,-78.2,13.600000000000009
56,-60.2,-79.0,18.799999999999997
58,-63.6,-79.0,15.399999999999999
60,-60.2,-79.0,18.799999999999997
62,-63.0,-79.0,16.0
64,-66.0,-79.0,13.0
66,-62.0,-59.0,-3.0
68,-61.4,-58.0,-3.3999999999999986
70,-68.2,-62.0,-6.200000000000003
72,-68.0,-60.4,-7.600000000000001
74,-64.8,-64.4,-0.3999999999999915
76,-63.4,-67.0,3.6000000000000014
78,-64.4,-70.2,5.799999999999997
80,-62.0,-59.6,-2.3999999999999986
82,-61.2,-72.2,11.0
84,-59.4,-70.0,10.600000000000001
86,-58.4,-71.0,12.600000000000001
88,-58.6,-71.0,12.399999999999999
90,-56.2,-70.6,14.399999999999991
