Phi [deg],SUM,DIFF,DIFF-SUM
-90,-67.4,-71.2,3.799999999999997
-92,-72.8,-77.4,4.6000000000000085
-94,-71.6,-76.8,5.200000000000003
-96,-70.6,-77.0,6.400000000000006
-98,-71.4,-75.8,4.3999999999999915
-100,-72.2,-78.8,6.599999999999994
-102,-71.6,-80.6,9.0
-104,-72.6,-77.0,4.400000000000006
-106,-72.2,-79.2,7.0
-108,-73.0,-79.6,6.599999999999994
-110,-72.0,-77.4,5.400000000000006
-112,-74.2,-76.2,2.0
-114,-72.6,-73.4,0.8000000000000114
-116,-72.8,-71.8,-1.0
-118,-74.0,-72.4,-1.5999999999999943
-120,-74.2,-71.4,-2.799999999999997
-122,-71.6,-71.6,0.0
-124,-73.0,-71.8,-1.2000000000000028
-126,-71.8,-72.4,0.6000000000000085
-128,-71.2,-72.6,1.3999999999999915
-130,-70.6,-72.0,1.4000000000000057
-132,-70.2,-72.8,2.5999999999999943
-134,-69.2,-73.8,4.599999999999994
-136,-69.6,-72.0,2.4000000000000057
-138,-68.6,-72.6,4.0
-140,-67.8,-72.4,4.6000000000000085
-142,-68.6,-75.6,7.0
-144,-67.2,-72.0,4.799999999999997
-146,-67.8,-73.6,5.799999999999997
-148,-66.4,-76.0,9.599999999999994
-150,-66.8,-73.4,6.6000000000000085
-152,-66.2,-75.0,8.799999999999997
-154,-65.6,-76.0,10.400000000000006
-156,-66.2,-74.0,7.799999999999997
-158,-65.6,-76.6,11.0
-160,-65.8,-76.6,10.799999999999997
-162,-67.0,-75.2,8.200000000000003
-164,-66.6,-75.0,8.400000000000006
-166,-65.2,-74.2,9.0
-168,-64.6,-68.8,4.200000000000003
-170,-65.4,-72.4,7.0
-172,-65.2,-73.8,8.599999999999994
-174,-65.2,-73.4,8.200000000000003
-176,-63.8,-73.2,9.400000000000006
-178,-65.2,-73.6,8.399999999999991
-180,-65.2,-73.6,8.399999999999991
-182,-64.4,-72.4,8.0
-184,-65.0,-71.4,6.400000000000006
-186,-64.0,-74.2,10.200000000000003
-188,-64.6,-73.0,8.400000000000006
-190,-65.6,-71.4,5.800000000000011
-192,-66.2,-71.6,5.3999999999999915
-194,-73.0,-69.2,-3.799999999999997
-196,-68.6,-68.4,-0.19999999999998863
-198,-67.8,-68.2,0.4000000000000057
-200,-68.0,-67.8,-0.20000000000000284
-202,-67.4,-66.8,-0.6000000000000085
-204,-68.0,-67.2,-0.7999999999999972
-206,-68.6,-68.4,-0.19999999999998863
-208,-67.4,-66.6,-0.8000000000000114
-210,-68.4,-66.8,-1.6000000000000085
-212,-70.8,-67.2,-3.5999999999999943
-214,-69.2,-66.2,-3.0
-216,-67.0,-66.2,-0.7999999999999972
-218,-69.4,-66.8,-2.6000000000000085
-220,-69.2,-68.0,-1.2000000000000028
-222,-69.6,-67.6,-2.0
-224,-69.8,-68.2,-1.5999999999999943
-226,-72.4,-69.0,-3.4000000000000057
-228,-73.4,-68.8,-4.6000000000000085
-230,-74.6,-69.4,-5.199999999999989
-232,-75.8,-72.0,-3.799999999999997
-234,-73.0,-74.4,1.4000000000000057
-236,-71.6,-74.4,2.8000000000000114
-238,-70.8,-75.6,4.799999999999997
-240,-70.8,-72.0,1.2000000000000028
-242,-68.4,-75.4,7.0
-244,-69.4,-73.8,4.3999999999999915
-246,-66.6,-75.0,8.400000000000006
-248,-66.8,-72.2,5.400000000000006
-250,-66.0,-72.0,6.0
-252,-66.0,-71.4,5.400000000000006
-254,-65.8,-69.0,3.200000000000003
-256,-64.0,-67.8,3.799999999999997
-258,-65.4,-67.2,1.7999999999999972
-260,-64.2,-66.6,2.3999999999999915
-262,-65.6,-67.0,1.4000000000000057
-264,-66.8,-67.0,0.20000000000000284
-266,-68.2,-66.8,-1.4000000000000057
-268,-65.8,-65.8,0.0
-270,-66.0,-67.2,1.2000000000000028
