Phi [deg],SUM,DIFF,DIFF-SUM
-90,-81.4,-83.8,2.3999999999999915
-96,-81.8,-85.0,3.200000000000003
-102,-81.8,-81.8,0.0
-108,-80.2,-83.0,2.799999999999997
-114,-77.8,-85.4,7.6000000000000085
-120,-79.2,-85.4,6.200000000000003
-126,-79.6,-86.6,7.0
-132,-78.0,-84.0,6.0
-138,-78.2,-85.0,6.799999999999997
-144,-77.2,-82.6,5.3999999999999915
-150,-74.0,-82.4,8.400000000000006
-156,-75.4,-83.8,8.399999999999991
-162,-73.8,-83.0,9.200000000000003
-168,-76.2,-84.8,8.599999999999994
-174,-77.8,-82.6,4.799999999999997
-180,-77.8,-83.2,5.400000000000006
-186,-76.6,-80.4,3.8000000000000114
-192,-78.0,-81.6,3.5999999999999943
-198,-76.0,-77.6,1.5999999999999943
-204,-78.2,-80.4,2.200000000000003
-210,-79.6,-81.4,1.8000000000000114
-216,-79.0,-82.8,3.799999999999997
-222,-80.6,-82.6,2.0
-228,-76.0,-82.0,6.0
-234,-75.0,-78.8,3.799999999999997
-240,-74.6,-75.2,0.6000000000000085
-246,-76.2,-78.0,1.7999999999999972
-252,-76.8,-79.0,2.200000000000003
-258,-76.4,-78.4,2.0
-264,-76.2,-80.6,4.3999999999999915
-270,-77.6,-81.2,3.6000000000000085
