Phi [deg],SUM,DIFF,DIFF-SUM
-90,-69.0,-72.2,3.200000000000003
-94,-72.6,-75.0,2.4000000000000057
-98,-71.0,-77.0,6.0
-102,-72.0,-78.0,6.0
-106,-71.2,-78.2,7.0
-110,-73.4,-75.2,1.7999999999999972
-114,-74.2,-72.6,-1.6000000000000085
-118,-73.2,-74.0,0.7999999999999972
-122,-71.4,-71.0,-0.4000000000000057
-126,-71.4,-71.8,0.3999999999999915
-130,-71.4,-72.0,0.5999999999999943
-134,-71.0,-73.2,2.200000000000003
-138,-68.8,-75.6,6.799999999999997
-142,-68.4,-75.0,6.599999999999994
-146,-67.8,-75.6,7.799999999999997
-150,-67.2,-75.2,8.0
-154,-68.6,-73.6,5.0
-158,-66.0,-73.6,7.599999999999994
-162,-65.2,-76.0,10.799999999999997
-166,-65.2,-76.8,11.599999999999994
-170,-66.2,-76.4,10.200000000000003
-174,-65.0,-73.6,8.599999999999994
-178,-63.8,-76.0,12.200000000000003
-182,-65.2,-74.2,9.0
-186,-64.2,-71.6,7.3999999999999915
-190,-65.0,-71.0,6.0
-194,-65.0,-69.6,4.599999999999994
-198,-65.0,-67.6,2.5999999999999943
-202,-65.6,-67.4,1.8000000000000114
-206,-68.6,-68.0,-0.5999999999999943
-210,-68.2,-66.8,-1.4000000000000057
-214,-68.8,-67.4,-1.3999999999999915
-218,-67.8,-66.6,-1.2000000000000028
-222,-69.4,-67.2,-2.200000000000003
-226,-70.6,-68.4,-2.1999999999999886
-230,-72.0,-70.8,-1.2000000000000028
-234,-73.2,-69.6,-3.6000000000000085
-238,-71.4,-71.8,0.3999999999999915
-242,-70.6,-73.4,2.8000000000000114
-246,-67.0,-73.6,6.599999999999994
-250,-66.6,-71.8,5.200000000000003
-254,-66.4,-71.2,4.799999999999997
-258,-64.8,-66.6,1.7999999999999972
-262,-64.0,-66.4,2.4000000000000057
-266,-65.2,-66.2,1.0
-270,-67.6,-66.6,-1.0
