Phi [deg],SUM,DIFF,DIFF-SUM
174,-9.804514311,-13.19873673,
175,-9.814950239,-13.28366305,
176,-9.820593028,-13.38007768,
177,-9.821297014,-13.48769353,
178,-9.817007773,-13.60624853,
179,-9.807763411,-13.73552072,
180,-9.793693869,-13.87534274,
181,-9.775018198,-14.02561544,
182,-9.752039888,-14.18632053,
183,-9.725140401,-14.35753213,
184,-9.69477114,-14.53942743,
185,-9.661444132,-14.73229647,
186,-9.625721773,-14.93655161,
187,-9.588205974,-15.152737,
188,-9.549527058,-15.38153899,
189,-9.510332728,-15.62379818,
190,-9.471277399,-15.88052433,
191,-9.433012121,-16.15291535,
192,-9.396175268,-16.44238188,
193,-9.361384139,-16.75057928,
194,-9.329227502,-17.07944944,
195,-9.300259134,-17.43127494,
196,-9.27499232,-17.8087497,
197,-9.253895262,-18.21507079,
198,-9.237387323,-18.65405888,
199,-9.225836029,-19.13031727,
200,-9.219554713,-19.64944435,
201,-9.218800739,-20.21832174,
202,-9.223774193,-20.84551124,
203,-9.234616983,-21.54181147,
204,-9.251412271,-22.3210516,
205,-9.274184203,-23.20123857,
206,-9.302897897,-24.20621998,
207,-9.337459683,-25.36803078,
208,-9.377717584,-26.72980905,
209,-9.423462077,-28.34738857,
210,-9.474427149,-30.27848433,
211,-9.530291702,-32.50353272,
212,-9.590681375,-34.5646178,
213,-9.655170822,-35.00643622,
214,-9.723286539,-33.23064356,
215,-9.794510287,-30.74353382,
216,-9.868283191,-28.44086125,
217,-9.944010545,-26.46634279,
218,-10.02106737,-24.77913442,
219,-10.09880472,-23.32018394,
220,-10.17655672,-22.04122554,
221,-10.25364834,-20.9061891,
222,-10.32940363,-19.88839856,
223,-10.40315458,-18.96790423,
224,-10.47425011,-18.12952409,
225,-10.54206527,-17.36148505,
226,-10.60601023,-16.65448752,
227,-10.66553884,-16.00105577,
228,-10.72015659,-15.39508019,
229,-10.76942763,-14.8314897,
230,-10.81298057,-14.30601346,
231,-10.85051301,-13.81500506,
232,-10.88179451,-13.355311,
233,-10.90666792,-12.92417116,
234,-10.92504909,-12.51914263,
235,-10.93692495,-12.13804094,
236,-10.94235001,-11.77889433,
237,-10.94144156,-11.43990808,
238,-10.93437359,-11.11943637,
239,-10.92136976,-10.81596025,
240,-10.90269571,-10.52807022,
241,-10.87865082,-10.25445261,
242,-10.84955985,-9.993878808,
243,-10.81576458,-9.745196943,
244,-10.77761564,-9.507325404,
245,-10.7354649,-9.279247858,
246,-10.68965829,-9.060009443,
247,-10.64052937,-8.848713869,
248,-10.58839368,-8.644521205,
249,-10.53354386,-8.446646166,
250,-10.47624557,-8.254356729,
251,-10.41673423,-8.066972963,
252,-10.35521257,-7.883865947,
253,-10.29184882,-7.704456697,
254,-10.22677567,-7.528215027,
255,-10.1600897,-7.354658299,
256,-10.0918515,-7.183350027,
257,-10.02208615,-7.013898321,
258,-9.950784122,-6.845954159,
259,-9.877902601,-6.679209512,
260,-9.803367013,-6.513395324,
261,-9.727072874,-6.348279384,
262,-9.648887831,-6.183664116,
263,-9.568653905,-6.019384323,
264,-9.4861899,-5.855304918,
265,-9.401293973,-5.69131867,
266,-9.313746353,-5.527344007,
267,-9.223312199,-5.363322892,
268,-9.129744596,-5.199218795,
269,-9.032787689,-5.035014787,
270,-8.932179935,-4.870711749,
271,-8.827657469,-4.706326733,
272,-8.718957568,-4.541891441,
273,-8.605822168,-4.377450854,
274,-8.488001421,-4.213061989,
275,-8.365257224,-4.048792779,
276,-8.23736668,-3.884721073,
277,-8.104125417,-3.720933744,
278,-7.965350705,-3.55752589,
279,-7.820884299,-3.394600131,
280,-7.670594936,-3.232265975,
281,-7.514380426,-3.070639262,
282,-7.35216929,-2.90984166,
283,-7.183921894,-2.750000222,
284,-7.009631063,-2.59124699,
285,-6.829322173,-2.433718635,
286,-6.643052731,-2.277556148,
287,-6.450911478,-2.122904559,
288,-6.253017067,-1.969912688,
289,-6.049516385,-1.818732936,
290,-5.840582582,-1.669521103,
291,-5.626412903,-1.522436233,
292,-5.407226396,-1.377640499,
293,-5.183261573,-1.235299109,
294,-4.954774101,-1.095580247,
295,-4.722034575,-0.958655048,
296,-4.485326429,-0.824697594,
297,-4.244944002,-0.693884956,
298,-4.001190796,-0.566397259,
299,-3.754377915,-0.442417779,
300,-3.50482268,-0.322133086,
301,-3.252847406,-0.205733204,
302,-2.998778318,-0.09341183,
303,-2.742944567,0.014633433,
304,-2.485677325,0.11820078,
305,-2.227308929,0.21708388,
306,-1.968172042,0.311071502,
307,-1.708598819,0.399947095,
308,-1.448920056,0.48348831,
309,-1.189464314,0.561466472,
310,-0.930557028,0.633645991,1.564203019
311,-0.672519583,0.699783703,1.372303286
312,-0.415668394,0.759628149,1.175296543
313,-0.160313982,0.812918762,0.973232744
314,0.093239928,0.859384983,0.766145055
315,0.344697266,0.898745273,0.554048007
316,0.593770421,0.930706024,0.336935603
317,0.840180972,0.954960357,0.114779385
318,1.083660322,0.971186787,-0.112473535
319,1.32395024,0.979047741,-0.344902499
320,1.56080328,0.978187914,-0.582615366
321,1.793983094,0.968232434,-0.82575066
322,2.02326462,0.948784812,-1.074479808
323,2.248434163,0.919424637,-1.329009526
324,2.469289357,0.879704981,-1.589584376
325,2.685639034,0.829149458,-1.856489576
326,2.897303003,0.767248883,-2.13005412
327,3.104111746,0.693457447,-2.410654299
328,3.305906058,0.60718832,-2.698717738
329,3.502536635,0.507808574,-2.994728061
330,3.693863631,0.394633271,-3.29923036
331,3.879756183,0.266918563,-3.61283762
332,4.060091945,0.123853573,-3.936238372
333,4.234756609,-0.035449217,-4.270205826
334,4.403643446,-0.211965397,-4.615608843
335,4.566652863,-0.406772331,-4.973425194
336,4.723691989,-0.621065689,-5.344757678
337,4.874674283,-0.856179519,-5.730853802
338,5.019519184,-1.113610827,-6.133130011
339,5.15815178,-1.39504989,-6.55320167
340,5.290502519,-1.70241799,-6.992920509
341,5.416506943,-2.037914805,-7.454421748
342,5.536105451,-2.404078548,-7.940183999
343,5.64924308,-2.803863114,-8.453106194
344,5.755869316,-3.240738266,-8.996607582
345,5.85593791,-3.718821464,-9.574759374
346,5.949406711,-4.243053892,-10.1924606
347,6.036237506,-4.819439284,-10.85567679
348,6.11639587,-5.455373756,-11.57176963
349,6.189851008,-6.16011018,-12.34996119
350,6.256575613,-6.945425809,-13.20200142
351,6.316545711,-7.826603475,-14.14314919
352,6.36974051,-8.823905402,-15.19364591
353,6.416142248,-9.964826626,-16.38096887
354,6.455736037,-11.28755098,-17.74328702
355,6.488509708,-12.84600425,-19.33451396
356,6.514453659,-14.71540561,-21.22985927
357,6.533560693,-16.98612934,-23.51969003
358,6.54582588,-19.66271068,-26.20853656
359,6.551246402,-22.06115926,-28.61240566
360,6.549821423,-22.0065951,-28.55641652
