Phi [deg],data
-90,-6,-8,-2,-4,-4,-6,-6,-4,-4,-4,-4,0,-4,-2,-2,-4,-4,-4,-4,0
-88,-6,-2,-2,-2,-2,0,-2,-4,-4,-4,-6,0,-4,-2,-2,-2,-6,-4,-4,-4
-86,-2,-2,-2,0,-4,-2,-2,-2,-2,-4,-4,0,0,4,0,0,-2,0,-2,-2
-84,-2,0,2,0,2,0,-2,-2,-2,0,2,0,-2,-2,0,-2,-2,0,-2,0
-82,-2,-2,2,0,0,2,0,0,-26,-2,-4,0,-18,-16,2,0,0,0,0,-2
-80,0,0,2,22,2,-2,0,2,2,-22,0,0,-2,0,2,2,-2,0,2,6
-78,2,4,2,4,2,2,2,2,0,0,4,4,2,2,2,0,0,0,0,2
-76,0,2,4,6,4,2,2,2,4,2,4,2,2,2,2,4,2,0,6,4
-74,4,2,-4,2,2,4,2,4,2,6,2,4,2,6,0,4,4,2,2,2
-72,2,2,-4,-2,2,4,2,2,0,4,2,-20,2,4,2,4,4,2,6,4
-70,4,4,4,2,2,2,2,6,4,4,4,2,4,4,4,4,0,0,0,0
-68,4,2,2,2,4,2,2,0,4,2,6,4,-2,4,2,4,0,2,2,4
-66,4,2,4,0,4,2,4,-2,4,-2,2,-4,4,2,4,4,2,4,2,0
-64,-6,0,2,0,0,-2,6,4,0,-2,4,4,2,-2,2,10,0,2,2,0
-62,0,0,2,2,-2,4,0,0,0,4,-2,2,2,-2,0,2,4,-4,2,0
-60,0,2,2,2,2,0,-4,2,2,-4,0,0,2,0,2,4,0,2,-4,4
-58,2,0,-2,-2,0,-2,-2,0,-2,-2,-2,0,-2,0,-6,-6,0,-2,-2,-2
-56,-2,2,-2,-4,-2,-2,0,-30,-8,0,-2,20,2,-2,0,2,-2,0,-2,-4
-54,0,0,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,-6,-4,-4,0,-4,-6,-6
-52,-4,-4,-4,-8,-6,-4,-4,2,-2,-4,-2,-2,0,-6,-8,-8,-8,-6,-4,-2
-50,-6,-6,-6,-8,-6,-6,-2,-6,-4,0,-6,-6,-4,-4,-4,-6,-8,-4,-6,-6
-48,-24,-6,-22,-6,-4,-4,-4,-4,-4,-2,-2,-8,-8,-8,-4,-6,-8,-6,-6,-8
-46,-6,-8,-8,-6,-6,-8,-10,-8,-8,-8,-6,-8,-8,-8,-8,-8,-4,-6,-4,-6
-44,-6,-2,-10,-6,-4,0,2,-4,-6,2,-8,-4,-8,-8,0,-8,-8,-12,-4,-8
-42,-6,-2,-8,-2,-6,-8,-8,-8,-10,-6,-8,-8,2,2,-8,-10,-8,-8,-8,-10
-40,-8,-10,-8,-8,-8,-8,-6,-6,-4,-6,-6,-16,-6,0,0,-6,-4,-10,-4,-4
-38,-4,-8,12,6,-8,-8,-8,-6,-6,-10,-8,-10,-10,-8,-4,-6,-8,-8,-4,-10
-36,-10,-8,-10,-10,-10,-6,-10,-8,-10,-2,-4,-12,-10,-8,-10,-8,-10,-10,-6,-8
-34,-8,-8,-10,-10,-6,-6,-10,-10,-10,-8,-10,-10,-8,-10,-8,-10,-8,-6,-8,-8
-32,-8,-10,-10,-2,-12,-6,-10,-8,0,-12,-8,-10,-8,-8,-8,-10,-8,-8,-10,-8
-30,-8,-8,-6,-8,-6,-8,-10,-6,-6,-6,-12,-8,-8,-8,-8,-8,-10,-6,-8,-8
-28,-8,-2,-4,-2,-2,-6,-8,-8,-8,-10,-8,-8,-2,-4,-8,-6,-8,-6,0,-4
-26,-6,-6,-4,0,-8,-6,-8,-8,-6,-8,-8,-10,-8,-6,-6,-8,-10,-10,-8,-6
-24,-6,-8,-8,-8,-2,-6,-8,-6,-2,-6,-2,0,-6,-2,-4,-4,-8,0,-6,-4
-22,-6,-6,-6,-4,-6,-6,-6,-10,-8,-6,-6,-4,-2,-6,-8,-4,-4,-6,-6,-8
-20,-6,8,-4,-6,-6,0,4,-6,-6,-6,-8,-6,-8,-4,-4,-12,-6,-4,-8,-2
-18,-6,-6,-6,-8,-8,-4,-6,-8,6,12,-6,0,-2,-8,-2,-2,-4,-8,-8,-4
-16,-4,-4,-6,2,18,-6,-6,0,-8,-2,-6,0,0,0,6,-6,-6,0,-4,0
-14,0,-2,-6,-4,-4,-8,0,-4,-6,-6,-2,-4,-2,2,-4,-10,-4,-2,-4,0
-12,2,0,-2,-6,0,-4,-4,-8,-4,-4,-10,-4,-6,-4,-6,2,4,0,-2,-6
-10,-4,-6,-6,-6,0,0,0,-4,-4,-6,-2,-2,4,-4,0,-8,-4,-4,0,-4
-8,-8,-2,-2,-2,-2,-2,-2,2,-2,-4,-2,-4,-4,-6,8,0,-4,-6,24,-6
-6,-4,-4,-2,-4,-4,-8,-4,-4,-4,-6,-8,-8,-4,-6,-4,-2,-4,-2,-2,-4
-4,-6,-4,-4,-4,-4,-4,-4,-4,-4,2,-2,-2,-4,-4,-4,-4,-2,-4,0,-2
-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,2,-2,-2,-4,-4,-2,-2,-6,-4,-4,2
0,-4,-4,-4,-4,-4,-10,-4,-2,-8,-2,-6,-8,-6,-2,-6,-6,-4,-6,-6,0
2,-2,-2,-8,-2,0,-6,-4,4,-6,-4,-4,-4,-4,-4,-6,-4,-4,-4,-4,0
4,0,0,-6,-6,-4,-4,-6,-8,-4,-4,-6,-6,-4,-2,-18,0,-4,-6,-4,-4
6,-4,-8,0,0,-6,-6,-2,0,-4,-6,-8,-6,-6,-8,-8,-4,-8,-8,-8,-4
8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-4,-6,-4,-6,-6,-4,-6,-8,-6
